"artist_name","timestamp","followers","popularity","genres","spotify_url","is_backfill"
"Bad Bunny","2025-08-07 17:00:00+00:00","","","","","1"
"Bad Bunny","2025-08-07 18:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-07 19:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-07 20:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-07 21:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-07 22:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-07 23:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 00:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 01:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 02:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 03:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 04:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 05:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 06:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 07:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 08:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 09:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 10:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 11:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 12:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 13:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
"Bad Bunny","2025-08-08 14:00:00+00:00","98754266.0","100.0","reggaeton, trap latino, urbano latino, latin","https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X","1"
